Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.36184E-3,88.631376914,0.823082026,0.003583159,0.8125,0
1.36793E-3,88.768170046,0.823731058,0.003483627,0.8125,0
1.39363E-3,89.046544359,0.826417387,0.003284563,0.833333333,0
1.47198E-3,89.336837615,0.834124095,0.003085498,0.833333333,0
1.49821E-3,89.6343606,0.836553815,0.002886434,0.833333333,0
1.50514E-3,89.784874989,0.837183852,0.002786902,0.854166667,0
1.51168E-3,90.087188354,0.83777327,0.002587837,0.854166667,0
1.57725E-3,90.398639571,0.843462012,0.002388773,0.854166667,0
1.66294E-3,90.564933211,0.850320695,0.002289241,0.854166667,0
1.70143E-3,90.902256759,0.853210329,0.002090176,0.854166667,0
1.71136E-3,91.073392675,0.853937257,0.001990644,0.854166667,0
1.76438E-3,91.423899386,0.857701709,0.00179158,0.875,0
1.86615E-3,91.61051394,0.86440966,0.001692047,0.875,0
1.87886E-3,91.798399485,0.865203249,0.001592515,0.875,0
2.0172E-3,92.000119119,0.873276221,0.001492983,0.895833333,0
2.05145E-3,92.408174798,0.875127939,0.001293919,0.895833333,0
2.13528E-3,92.621702375,0.879439108,0.001194386,0.895833333,0
2.18861E-3,92.840563103,0.882030338,0.001094854,0.895833333,0
2.67391E-3,93.10795429,0.901328718,0.000995322,0.895833333,0
3.19001E-3,93.426955759,0.915950706,0.00089579,0.895833333,0
3.71608E-3,93.798563816,0.926980302,0.000796258,0.895833333,0
3.84488E-3,94.183051978,0.92925336,0.000696725,0.895833333,0
4.24146E-3,94.607198085,0.935441171,0.000597193,0.916666667,0
5.05876E-3,95.1130736,0.945300795,0.000497661,0.916666667,0
6.87732E-3,95.800805139,0.959174336,0.000398129,0.9375,0
7.59814E-3,96.560618682,0.96290371,0.000298597,0.9375,0
9.23262E-3,97.483880271,0.96926917,0.000199064,0.958333333,0
2.51612E-2,100,0.988499943,0.000099532,0.979166667,0
2.51612E-2,100,0.988499943,0.000099532,1,0
